sh run_tune.sh
run_tune.sh        run_tune.sh.SAVED  
[1;33mλ [1;37mdgx-18-04 [1;32m/DeepSpeech/examples/aishell2[1;33m[0m sh run_tune.sh
grep: warning: GREP_OPTIONS is deprecated; please use an alias or script
-----------  Configuration Arguments -----------
alpha_from: 0.0
alpha_to: 10.0
batch_size: 256
beam_size: 500
beta_from: 0.0
beta_to: 10.0
cutoff_prob: 1.0
cutoff_top_n: 40
error_rate_type: cer
lang_model_path: models/lm/zhidao_giga.klm
mean_std_path: data/aishell2/mean_std.npz
model_path: checkpoints/aishell2-C2R71024/step_final
num_alphas: 20
num_batches: -1
num_betas: 20
num_conv_layers: 2
num_proc_bsearch: 12
num_rnn_layers: 7
rnn_layer_size: 1024
share_rnn_weights: 0
specgram_type: linear
trainer_count: 8
tune_manifest: data/Wang/16k/manifest.dev
use_gpu: 1
use_gru: 1
vocab_path: data/aishell2/vocab.txt
------------------------------------------------
2020-03-09 02:19:45,999-INFO: begin to initialize the external scorer for decoding
2020-03-09 02:19:48,161-INFO: language model: is_character_based = 1, max_order = 5, dict_size = 0
2020-03-09 02:19:48,162-INFO: end initializing scorer
2020-03-09 02:19:48,162-INFO: start tuning ...
W0309 02:19:58.123144   252 device_context.cc:236] Please NOTE: device: 0, CUDA Capability: 70, Driver API Version: 10.2, Runtime API Version: 10.0
W0309 02:19:58.126399   252 device_context.cc:244] device: 0, cuDNN Version: 7.5.
W0309 02:19:58.126413   252 device_context.cc:270] WARNING: device: 0. The installed Paddle is compiled with CUDNN 7.6, but CUDNN version in your machine is 7.5, which may cause serious incompatible bug. Please recompile or reinstall Paddle with compatible CUDNN version.
finish initing model from pretrained params from checkpoints/aishell2-C2R71024/step_final
........................................................................................................................................................................................................
Batch 0 [226/?], current opt (alpha, beta) = (2.105, 3.684),  min [cer] = 0.285954

Final cer:

(alpha, beta) = (0.000, 0.000), [cer] = 0.358280
(alpha, beta) = (0.000, 0.526), [cer] = 0.360514
(alpha, beta) = (0.000, 1.053), [cer] = 0.363586
(alpha, beta) = (0.000, 1.579), [cer] = 0.367495
(alpha, beta) = (0.000, 2.105), [cer] = 0.373080
(alpha, beta) = (0.000, 2.632), [cer] = 0.383692
(alpha, beta) = (0.000, 3.158), [cer] = 0.397934
(alpha, beta) = (0.000, 3.684), [cer] = 0.414130
(alpha, beta) = (0.000, 4.211), [cer] = 0.433119
(alpha, beta) = (0.000, 4.737), [cer] = 0.465792
(alpha, beta) = (0.000, 5.263), [cer] = 0.504887
(alpha, beta) = (0.000, 5.789), [cer] = 0.549288
(alpha, beta) = (0.000, 6.316), [cer] = 0.615750
(alpha, beta) = (0.000, 6.842), [cer] = 0.704552
(alpha, beta) = (0.000, 7.368), [cer] = 0.815415
(alpha, beta) = (0.000, 7.895), [cer] = 0.962580
(alpha, beta) = (0.000, 8.421), [cer] = 1.151913
(alpha, beta) = (0.000, 8.947), [cer] = 1.394862
(alpha, beta) = (0.000, 9.474), [cer] = 1.671600
(alpha, beta) = (0.000, 10.000), [cer] = 1.981569
(alpha,, [cer] = 0.304943
(alpha, beta) = (1.053, 0.526), [cer] = 0.301871
(alpha, beta) = (1.053, 1.053), [cer] = 0.298520
(alpha, beta) = (1.053, 1.579), [cer] = 0.297403
(alpha, beta) = (1.053, 2.105), [cer] = 0.297124
(alpha, beta) = (1.053, 2.632), [cer] = 0.295448
32), [cer] = 0.327283
(alpha, beta) = (0.526, 3.158), [cer] = 0.333985
(alpha, beta) = (0.526, 3.684), [cer] = 0.339849
(alpha, beta) = (0.526, 4.211), [cer] = 0.351299
(alpha, beta) = (0.526, 4.737), [cer] = 0.366378
(alpha, beta) = (0.526, 5.263), [cer] = 0.382295
(alpha, beta) = (0.526, 5.789), [cer] = 0.404915
(alpha, beta) = (0.526, 6.316), [cer] = 0.425859
(alpha, beta) = (0.526, 6.842), [cer] = 0.473611
(alpha, beta) = (0.526, 7.368), [cer] = 0.526110
(alpha, beta) = (0.526, 7.895), [cer] = 0.593130
(alpha, beta) = (0.526, 8.421), [cer] = 0.685842
(alpha, beta) = (0.526, 8.947), [cer] = 0.799777
(alpha, beta) = (0.526, 9.474), [cer] = 0.954482
(alpha, beta) = (0.526, 10.000), [cer] = 1.155543
(alpha, beta) = (1.053, 0.000), [cer] = 0.304943
(alpha, beta) = (1.053, 0.526), [cer] = 0.301871
(alpha, beta) = (1.053, 1.053), [cer] = 0.298520
(alpha, beta) = (1.053, 1.579), [cer] = 0.297403
(alpha, beta) = (1.053, 2.105), [cer] = 0.297124
(alpha, beta) = (1.053, 2.632), [cer] = 0.295448
(alpha, beta) = (1.053, 3.158), [cer] = 0.296007
(alpha, beta) = (1.053, 3.684), [cer] = 0.298799
(alpha, beta) = (1.053, 4.211), [cer] = 0.304943
(alpha, beta) = (1.053, 4.737), [cer] = 0.313320
(alpha, beta) = (1.053, 5.263), [cer] = 0.326445
(alpha, beta) = (1.053, 5.789), [cer] = 0.342921
(alpha, beta) = (1.053, 6.316), [cer] = 0.359955
(alpha, beta) = (1.053, 6.842), [cer] = 0.383971
(alpha, beta) = (1.053, 7.368), [cer] = 0.417202
(alpha, beta) = (1.053, 7.895), [cer] = 0.457414
(alpha, beta) = (1.053, 8.421), [cer] = 0.508796
(alpha, beta) = (1.053, 8.947), [cer] = 0.574700
(alpha, beta) = (1.053, 9.474), [cer] = 0.663223
(alpha, beta) = (1.053, 10.000), [cer] = 0.766546
(alpha, beta) = (1.579, 0.000), [cer] = 0.313600
(alpha, beta) = (1.579, 0.526), [cer] = 0.303267
(alpha, beta) = (1.579, 1.053), [cer] = 0.295727
(alpha, beta) = (1.579, 1.579), [cer] = 0.290980
(alpha, beta) = (1.579, 2.105), [cer] = 0.289584
(alpha, beta) = (1.579, 2.632), [cer] = 0.288467
(alpha, beta) = (1.579, 3.158), [cer] = 0.286233
(alpha, beta) = (1.579, 3.684), [cer] = 0.287071
(alpha, beta) = (1.579, 4.211), [cer] = 0.289584
(alpha, beta) = (1.579, 4.737), [cer] = 0.292097
(alpha, beta) = (1.579, 5.263), [cer] = 0.300475
(alpha, beta) = (1.579, 5.789), [cer] = 0.310528
(alpha, beta) = (1.579, 6.316), [cer] = 0.327562
(alpha, beta) = (1.579, 6.842), [cer] = 0.344876
(alpha, beta) = (1.579, 7.368), [cer] = 0.370567
(alpha, beta) = (1.579, 7.895), [cer] = 0.402960
(alpha, beta) = (1.579, 8.421), [cer] = 0.439821
(alpha, beta) = (1.579, 8.947), [cer] = 0.483385
(alpha, beta) = (1.579, 9.474), [cer] = 0.537001
(alpha, beta) = (1.579, 10.000), [cer] = 0.607093
